"","Name","Platform","Year_of_Release","Genre","Publisher","Developer","Rating","Ventas NA","Ventas EU","Ventas JP","Ventas otras","Ventas globales","Puntajes Cr?ticos","n? criticas criticos","Puntajes usuarios","n? cr?ticas usuarios"
"1","Wii Sports","Wii","2006","Sports","Nintendo","Nintendo","E","muchisimas ventas en NA","muchisimas Ventas en EU","Ventas en JP intermedias","Bastantes Ventas otras ","muchas Ventas globales","Puntajes Cr?ticos alto","n? criticas criticos intermedio","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"2","Mario Kart Wii","Wii","2008","Racing","Nintendo","Nintendo","E","muchas ventas en NA","muchas Ventas en EU","Ventas en JP intermedias","pocas Ventas otras","muchas Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"3","Wii Sports Resort","Wii","2009","Sports","Nintendo","Nintendo","E","muchas ventas en NA","muchas Ventas en EU","Ventas en JP intermedias","pocas Ventas otras","muchas Ventas globales","Puntajes Cr?ticos alto","n? criticas criticos alto","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4","New Super Mario Bros.","DS","2006","Platform","Nintendo","Nintendo","E","Bastantes ventas en NA","Bastantes Ventas en EU ","muchas Ventas en JP","pocas Ventas otras","muchas Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"5","Wii Play","Wii","2006","Misc","Nintendo","Nintendo","E","muchas ventas en NA","Bastantes Ventas en EU ","Ventas en JP intermedias","pocas Ventas otras","muchas Ventas globales","Puntajes Cr?ticos intermedio","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"6","New Super Mario Bros. Wii","Wii","2009","Platform","Nintendo","Nintendo","E","muchas ventas en NA"," Ventas en EU intermedias","Bastantes Ventas en JP ","pocas Ventas otras","muchas Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"7","Mario Kart DS","DS","2005","Racing","Nintendo","Nintendo","E","Bastantes ventas en NA"," Ventas en EU intermedias","Bastantes Ventas en JP ","muy pocas Ventas otras","muchas Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"8","Wii Fit","Wii","2007","Sports","Nintendo","Nintendo","E","ventas en NA intermedias","Bastantes Ventas en EU ","Ventas en JP intermedias","pocas Ventas otras","muchas Ventas globales","Puntajes Cr?ticos alto","n? criticas criticos intermedio","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"9","Kinect Adventures!","X360","2010","Misc","Microsoft Game Studios","Good Science Studio","E","muchas ventas en NA","pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","muchas Ventas globales","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"10","Wii Fit Plus","Wii","2009","Sports","Nintendo","Nintendo","E","ventas en NA intermedias","Bastantes Ventas en EU ","pocas Ventas en JP","muy pocas Ventas otras","muchas Ventas globales","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"11","Grand Theft Auto V","PS3","2013","Action","Take-Two Interactive","Rockstar North","M","ventas en NA intermedias","Bastantes Ventas en EU ","muy pocas Ventas en JP","pocas Ventas otras","muchas Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios muy alto","n? cr?ticas usuarios bajo"
"12","Grand Theft Auto: San Andreas","PS2","2004","Action","Take-Two Interactive","Rockstar North","M","Bastantes ventas en NA","muy pocas Ventas en EU","muy pocas Ventas en JP","muchas Ventas otras","muchas Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"13","Brain Age: Train Your Brain in Minutes a Day","DS","2005","Misc","Nintendo","Nintendo","E","pocas ventas en NA","Bastantes Ventas en EU ","Bastantes Ventas en JP ","muy pocas Ventas otras","muchas Ventas globales","Puntajes Cr?ticos alto","n? criticas criticos intermedio","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"14","Grand Theft Auto V","X360","2013","Action","Take-Two Interactive","Rockstar North","M","Bastantes ventas en NA"," Ventas en EU intermedias","muy pocas Ventas en JP","muy pocas Ventas otras","muchas Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios muy alto","n? cr?ticas usuarios bajo"
"15","Grand Theft Auto: Vice City","PS2","2002","Action","Take-Two Interactive","Rockstar North","M","ventas en NA intermedias"," Ventas en EU intermedias","muy pocas Ventas en JP","muy pocas Ventas otras","muchas Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"16","Brain Age 2: More Training in Minutes a Day","DS","2005","Puzzle","Nintendo","Nintendo","E","pocas ventas en NA"," Ventas en EU intermedias","muchas Ventas en JP","muy pocas Ventas otras","muchas Ventas globales","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"17","Gran Turismo 3: A-Spec","PS2","2001","Racing","Sony Computer Entertainment","Polyphony Digital","E","ventas en NA intermedias","pocas Ventas en EU","pocas Ventas en JP","muy pocas Ventas otras","muchas Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"18","Call of Duty: Modern Warfare 3","X360","2011","Shooter","Activision","Infinity Ward, Sledgehammer Games","M","ventas en NA intermedias","pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","muchas Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios bajo","n? cr?ticas usuarios muy alto"
"19","Call of Duty: Black Ops","X360","2010","Shooter","Activision","Treyarch","M","Bastantes ventas en NA","pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","muchas Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"20","Call of Duty: Black Ops II","PS3","2012","Shooter","Activision","Treyarch","M","pocas ventas en NA"," Ventas en EU intermedias","muy pocas Ventas en JP","pocas Ventas otras","muchas Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos muy bajo","Puntajes usuarios intermedio","n? cr?ticas usuarios muy bajo"
"21","Call of Duty: Black Ops II","X360","2012","Shooter","Activision","Treyarch","M","ventas en NA intermedias","pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","muchas Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios intermedio","n? cr?ticas usuarios bajo"
"22","Call of Duty: Modern Warfare 2","X360","2009","Shooter","Activision","Infinity Ward","M","ventas en NA intermedias","pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","muchas Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos muy alto","Puntajes usuarios alto","n? cr?ticas usuarios bajo"
"23","Call of Duty: Modern Warfare 3","PS3","2011","Shooter","Activision","Infinity Ward, Sledgehammer Games","M","pocas ventas en NA"," Ventas en EU intermedias","muy pocas Ventas en JP","muy pocas Ventas otras","muchas Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios bajo","n? cr?ticas usuarios intermedio"
"24","Grand Theft Auto III","PS2","2001","Action","Take-Two Interactive","DMA Design","M","ventas en NA intermedias","pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","muchas Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"25","Super Smash Bros. Brawl","Wii","2008","Fighting","Nintendo","Game Arts","T","ventas en NA intermedias","muy pocas Ventas en EU","Ventas en JP intermedias","muy pocas Ventas otras","muchas Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"26","Mario Kart 7","3DS","2011","Racing","Nintendo","Retro Studios, Entertainment Analysis & Development Division","E","pocas ventas en NA","pocas Ventas en EU","Ventas en JP intermedias","muy pocas Ventas otras","muchas Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"27","Call of Duty: Black Ops","PS3","2010","Shooter","Activision","Treyarch","M","pocas ventas en NA","pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","muchas Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"28","Grand Theft Auto V","PS4","2014","Action","Take-Two Interactive","Rockstar North","M","pocas ventas en NA"," Ventas en EU intermedias","muy pocas Ventas en JP","muy pocas Ventas otras","muchas Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios muy alto","n? cr?ticas usuarios bajo"
"29","Animal Crossing: Wild World","DS","2005","Simulation","Nintendo","Nintendo","E","muy pocas ventas en NA","pocas Ventas en EU","muchas Ventas en JP","muy pocas Ventas otras","muchas Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
