"","Platform","Genre","Publisher","Global_Sales","Critic_Score","Rating","Is_Fiasco"
"1","X360","Misc","Microsoft Game Studios",21.81,61,"E",FALSE
"2","PS3","Action","Take-Two Interactive",21.04,97,"M",FALSE
"3","PS2","Action","Take-Two Interactive",20.81,95,"M",FALSE
"4","X360","Action","Take-Two Interactive",16.27,97,"M",FALSE
"5","PS2","Action","Take-Two Interactive",16.15,95,"M",FALSE
"6","PS2","Racing","Sony Computer Entertainment",14.98,95,"E",FALSE
"7","X360","Shooter","Activision",14.73,88,"M",TRUE
"8","X360","Shooter","Activision",14.61,87,"M",TRUE
"9","PS3","Shooter","Activision",13.79,83,"M",TRUE
"10","X360","Shooter","Activision",13.67,83,"M",TRUE
"11","X360","Shooter","Activision",13.47,94,"M",TRUE
"12","PS3","Shooter","Activision",13.32,88,"M",TRUE
"13","PS2","Action","Take-Two Interactive",13.1,97,"M",FALSE
"14","PS3","Shooter","Activision",12.63,88,"M",TRUE
"15","X360","Shooter","Microsoft Game Studios",12.12,94,"M",FALSE
"16","PS2","Racing","Sony Computer Entertainment",11.66,89,"E",FALSE
"17","X360","Action","Take-Two Interactive",11.01,98,"M",FALSE
"18","PS3","Racing","Sony Computer Entertainment",10.7,84,"E",FALSE
"19","PS3","Shooter","Activision",10.6,94,"M",TRUE
"20","PS3","Action","Take-Two Interactive",10.5,98,"M",TRUE
"21","X360","Shooter","Activision",10.25,73,"M",TRUE
"22","X360","Shooter","Microsoft Game Studios",9.86,91,"M",FALSE
"23","X360","Shooter","Microsoft Game Studios",9.71,87,"M",FALSE
"24","PS3","Shooter","Activision",9.36,71,"M",TRUE
"25","X360","Shooter","Activision",9.31,94,"M",FALSE
"26","XB","Shooter","Microsoft Game Studios",8.49,95,"M",FALSE
"27","PS3","Action","Electronic Arts",8.16,88,"E",TRUE
"28","PS2","Role-Playing","Sony Computer Entertainment",8.05,92,"T",FALSE
"29","PC","Simulation","Electronic Arts",8.01,86,"T",FALSE
"30","X360","Shooter","Activision",7.38,84,"M",FALSE
"31","X360","Shooter","Electronic Arts",7.32,84,"M",FALSE
"32","PS2","Racing","Electronic Arts",7.2,85,"E",FALSE
"33","PS3","Shooter","Electronic Arts",7.17,85,"M",FALSE
"34","PS2","Racing","Electronic Arts",6.9,82,"E",FALSE
"35","PS2","Shooter","Electronic Arts",6.83,88,"T",FALSE
"36","X360","Shooter","Microsoft Game Studios",6.75,93,"M",FALSE
"37","PS3","Action","Sony Computer Entertainment",6.74,92,"T",FALSE
"38","PS3","Shooter","Activision",6.68,94,"M",FALSE
"39","PS3","Action","Sony Computer Entertainment",6.66,96,"T",FALSE
"40","PS3","Action","Take-Two Interactive",6.49,95,"M",FALSE
"41","PS3","Sports","Electronic Arts",6.47,86,"E",TRUE
"42","PS3","Action","Ubisoft",6.45,85,"M",FALSE
"43","XB","Shooter","Microsoft Game Studios",6.43,97,"M",FALSE
"44","PS2","Role-Playing","Sony Computer Entertainment",6.4,85,"E",FALSE
"45","X360","Shooter","Microsoft Game Studios",6.34,83,"M",FALSE
"46","X360","Action","Take-Two Interactive",6.32,95,"M",FALSE
"47","PC","Role-Playing","Activision",6.29,93,"T",TRUE
"48","X360","Shooter","Microsoft Game Studios",6.21,91,"M",FALSE
"49","X360","Sports","Microsoft Game Studios",6.19,73,"E10+",FALSE
"50","X360","Shooter","Microsoft Game Studios",6.09,94,"M",FALSE
"51","PS2","Action","Konami Digital Entertainment",6.05,96,"M",FALSE
"52","PS3","Action","Konami Digital Entertainment",5.99,94,"M",FALSE
"53","PS3","Platform","Sony Computer Entertainment",5.82,95,"E",TRUE
"54","PS3","Action","Ubisoft",5.55,91,"M",FALSE
"55","X360","Adventure","Ubisoft",5.54,81,"M",FALSE
"56","X360","Racing","Microsoft Game Studios",5.49,92,"E",FALSE
"57","PS3","Shooter","Activision",5.39,85,"M",FALSE
"58","X360","Action","Ubisoft",5.29,84,"M",FALSE
"59","PS2","Role-Playing","Electronic Arts",5.29,85,"T",FALSE
"60","X360","Action","Ubisoft",5.26,90,"M",FALSE
"61","PS2","Sports","Electronic Arts",5.23,94,"E",FALSE
"62","X360","Action","Electronic Arts",5.16,90,"E",TRUE
"63","PC","Role-Playing","Activision",5.14,88,"M",TRUE
"64","PS2","Shooter","Electronic Arts",5.13,68,"T",FALSE
"65","X360","Role-Playing","Microsoft Game Studios",5.1,80,"M",FALSE
"66","PS3","Sports","Electronic Arts",5.07,89,"E",FALSE
"67","PS2","Misc","Activision",4.98,82,"T",FALSE
"68","PS3","Action","Sony Computer Entertainment",4.92,88,"T",FALSE
