"","X1","Publisher","Is_Fiasco"
"1",1,"Microsoft Game Studios",FALSE
"2",2,"Take-Two Interactive",FALSE
"3",3,"Take-Two Interactive",FALSE
"4",4,"Take-Two Interactive",FALSE
"5",5,"Take-Two Interactive",FALSE
"6",6,"Sony Computer Entertainment",FALSE
"7",7,"Activision",TRUE
"8",8,"Activision",TRUE
"9",9,"Activision",TRUE
"10",10,"Activision",TRUE
"11",11,"Activision",TRUE
"12",12,"Activision",TRUE
"13",13,"Take-Two Interactive",FALSE
"14",14,"Activision",TRUE
"15",15,"Microsoft Game Studios",FALSE
"16",16,"Sony Computer Entertainment",FALSE
"17",17,"Take-Two Interactive",FALSE
"18",18,"Sony Computer Entertainment",FALSE
"19",19,"Activision",TRUE
"20",20,"Take-Two Interactive",TRUE
"21",21,"Activision",TRUE
"22",22,"Microsoft Game Studios",FALSE
"23",23,"Microsoft Game Studios",FALSE
"24",24,"Activision",TRUE
"25",25,"Activision",FALSE
"26",26,"Microsoft Game Studios",FALSE
"27",27,"Electronic Arts",TRUE
"28",28,"Sony Computer Entertainment",FALSE
"29",29,"Electronic Arts",FALSE
"30",30,"Activision",FALSE
"31",31,"Electronic Arts",FALSE
"32",32,"Electronic Arts",FALSE
"33",33,"Electronic Arts",FALSE
"34",34,"Electronic Arts",FALSE
"35",35,"Electronic Arts",FALSE
"36",36,"Microsoft Game Studios",FALSE
"37",37,"Sony Computer Entertainment",FALSE
"38",38,"Activision",FALSE
"39",39,"Sony Computer Entertainment",FALSE
"40",40,"Take-Two Interactive",FALSE
"41",41,"Electronic Arts",TRUE
"42",42,"Ubisoft",FALSE
"43",43,"Microsoft Game Studios",FALSE
"44",44,"Sony Computer Entertainment",FALSE
"45",45,"Microsoft Game Studios",FALSE
"46",46,"Take-Two Interactive",FALSE
"47",47,"Activision",TRUE
"48",48,"Microsoft Game Studios",FALSE
"49",49,"Microsoft Game Studios",FALSE
"50",50,"Microsoft Game Studios",FALSE
"51",51,"Konami Digital Entertainment",FALSE
"52",52,"Konami Digital Entertainment",FALSE
"53",53,"Sony Computer Entertainment",TRUE
"54",54,"Ubisoft",FALSE
"55",55,"Ubisoft",FALSE
"56",56,"Microsoft Game Studios",FALSE
"57",57,"Activision",FALSE
"58",58,"Ubisoft",FALSE
"59",59,"Electronic Arts",FALSE
"60",60,"Ubisoft",FALSE
"61",61,"Electronic Arts",FALSE
"62",62,"Electronic Arts",TRUE
"63",63,"Activision",TRUE
"64",64,"Electronic Arts",FALSE
"65",65,"Microsoft Game Studios",FALSE
"66",66,"Electronic Arts",FALSE
"67",67,"Activision",FALSE
"68",68,"Sony Computer Entertainment",FALSE
"69",69,"Electronic Arts",FALSE
"70",70,"Activision",FALSE
"71",71,"Ubisoft",FALSE
"72",72,"Sony Computer Entertainment",FALSE
"73",73,"Electronic Arts",FALSE
"74",74,"Microsoft Game Studios",FALSE
"75",75,"Electronic Arts",FALSE
"76",76,"Activision",FALSE
"77",77,"Electronic Arts",FALSE
"78",78,"Activision",FALSE
"79",79,"Sony Computer Entertainment",FALSE
"80",80,"Activision",TRUE
"81",81,"Konami Digital Entertainment",FALSE
"82",82,"Take-Two Interactive",FALSE
"83",83,"Electronic Arts",FALSE
"84",84,"Sony Computer Entertainment",FALSE
"85",85,"Microsoft Game Studios",TRUE
"86",86,"Konami Digital Entertainment",FALSE
"87",87,"Ubisoft",FALSE
"88",88,"Electronic Arts",TRUE
"89",89,"Electronic Arts",FALSE
"90",90,"Sony Computer Entertainment",FALSE
"91",91,"Sony Computer Entertainment",FALSE
"92",92,"Ubisoft",FALSE
"93",93,"Electronic Arts",FALSE
"94",94,"Activision",FALSE
"95",95,"Sony Computer Entertainment",FALSE
"96",96,"Microsoft Game Studios",FALSE
"97",97,"Namco Bandai Games",FALSE
"98",98,"Electronic Arts",FALSE
"99",99,"Activision",FALSE
"100",100,"Namco Bandai Games",FALSE
"101",101,"Sony Computer Entertainment",FALSE
"102",102,"Konami Digital Entertainment",FALSE
"103",103,"Sony Computer Entertainment",FALSE
"104",104,"Activision",FALSE
"105",105,"Electronic Arts",FALSE
"106",106,"Ubisoft",FALSE
"107",107,"Electronic Arts",FALSE
"108",108,"Activision",FALSE
"109",109,"Sony Computer Entertainment",FALSE
"110",110,"Sony Computer Entertainment",FALSE
"111",111,"Konami Digital Entertainment",FALSE
"112",112,"Electronic Arts",FALSE
"113",113,"Electronic Arts",FALSE
"114",114,"Take-Two Interactive",FALSE
"115",115,"Sony Computer Entertainment",FALSE
"116",116,"Electronic Arts",FALSE
"117",117,"Electronic Arts",FALSE
"118",118,"Electronic Arts",FALSE
"119",119,"Ubisoft",FALSE
"120",120,"Electronic Arts",FALSE
"121",121,"Electronic Arts",TRUE
"122",122,"Electronic Arts",TRUE
"123",123,"Electronic Arts",FALSE
"124",124,"Take-Two Interactive",FALSE
"125",125,"Namco Bandai Games",FALSE
"126",126,"Activision",FALSE
"127",127,"Electronic Arts",TRUE
"128",128,"Sony Computer Entertainment",FALSE
"129",129,"Ubisoft",FALSE
"130",130,"Electronic Arts",FALSE
"131",131,"Take-Two Interactive",FALSE
"132",132,"Ubisoft",FALSE
"133",133,"Electronic Arts",FALSE
"134",134,"Activision",FALSE
"135",135,"Sony Computer Entertainment",FALSE
"136",136,"Take-Two Interactive",FALSE
"137",137,"Electronic Arts",FALSE
"138",138,"Ubisoft",FALSE
"139",139,"Electronic Arts",FALSE
"140",140,"Electronic Arts",FALSE
"141",141,"Electronic Arts",FALSE
"142",142,"Electronic Arts",TRUE
"143",143,"Take-Two Interactive",FALSE
"144",144,"Activision",FALSE
"145",145,"Electronic Arts",TRUE
"146",146,"Sony Computer Entertainment",FALSE
"147",147,"THQ",FALSE
"148",148,"Ubisoft",FALSE
"149",149,"Sony Computer Entertainment",FALSE
"150",150,"Ubisoft",FALSE
"151",151,"Take-Two Interactive",FALSE
"152",152,"Electronic Arts",FALSE
"153",153,"Konami Digital Entertainment",FALSE
"154",154,"Electronic Arts",TRUE
"155",155,"Sega",FALSE
"156",156,"Electronic Arts",FALSE
"157",157,"Sony Computer Entertainment",FALSE
"158",158,"Sony Computer Entertainment",FALSE
"159",159,"Microsoft Game Studios",FALSE
"160",160,"Sega",FALSE
