"","Name","Publisher","Developer","Puntajes Cr?ticos","n? criticas criticos","Puntajes usuarios","n? cr?ticas usuarios"
"1","Wii Sports","Nintendo","Nintendo","Puntajes Cr?ticos alto","n? criticas criticos intermedio","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"2","Mario Kart Wii","Nintendo","Nintendo","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"3","Wii Sports Resort","Nintendo","Nintendo","Puntajes Cr?ticos alto","n? criticas criticos alto","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"4","New Super Mario Bros.","Nintendo","Nintendo","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"5","Wii Play","Nintendo","Nintendo","Puntajes Cr?ticos intermedio","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"6","New Super Mario Bros. Wii","Nintendo","Nintendo","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"7","Mario Kart DS","Nintendo","Nintendo","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"8","Wii Fit","Nintendo","Nintendo","Puntajes Cr?ticos alto","n? criticas criticos intermedio","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"9","Kinect Adventures!","Microsoft Game Studios","Good Science Studio","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"10","Wii Fit Plus","Nintendo","Nintendo","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"11","Grand Theft Auto V","Take-Two Interactive","Rockstar North","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios muy alto","n? cr?ticas usuarios bajo"
"12","Grand Theft Auto: San Andreas","Take-Two Interactive","Rockstar North","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"13","Brain Age: Train Your Brain in Minutes a Day","Nintendo","Nintendo","Puntajes Cr?ticos alto","n? criticas criticos intermedio","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"14","Grand Theft Auto V","Take-Two Interactive","Rockstar North","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios muy alto","n? cr?ticas usuarios bajo"
"15","Grand Theft Auto: Vice City","Take-Two Interactive","Rockstar North","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"16","Brain Age 2: More Training in Minutes a Day","Nintendo","Nintendo","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"17","Gran Turismo 3: A-Spec","Sony Computer Entertainment","Polyphony Digital","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"18","Call of Duty: Modern Warfare 3","Activision","Infinity Ward, Sledgehammer Games","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios bajo","n? cr?ticas usuarios muy alto"
"19","Call of Duty: Black Ops","Activision","Treyarch","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"20","Call of Duty: Black Ops II","Activision","Treyarch","Puntajes Cr?ticos muy alto","n? criticas criticos muy bajo","Puntajes usuarios intermedio","n? cr?ticas usuarios muy bajo"
"21","Call of Duty: Black Ops II","Activision","Treyarch","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios intermedio","n? cr?ticas usuarios bajo"
"22","Call of Duty: Modern Warfare 2","Activision","Infinity Ward","Puntajes Cr?ticos muy alto","n? criticas criticos muy alto","Puntajes usuarios alto","n? cr?ticas usuarios bajo"
"23","Call of Duty: Modern Warfare 3","Activision","Infinity Ward, Sledgehammer Games","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios bajo","n? cr?ticas usuarios intermedio"
"24","Grand Theft Auto III","Take-Two Interactive","DMA Design","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"25","Super Smash Bros. Brawl","Nintendo","Game Arts","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"26","Mario Kart 7","Nintendo","Retro Studios, Entertainment Analysis & Development Division","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"27","Call of Duty: Black Ops","Activision","Treyarch","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"28","Grand Theft Auto V","Take-Two Interactive","Rockstar North","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios muy alto","n? cr?ticas usuarios bajo"
"29","Animal Crossing: Wild World","Nintendo","Nintendo","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"30","Halo 3","Microsoft Game Studios","Bungie Software, Bungie","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios alto","n? cr?ticas usuarios bajo"
"31","Gran Turismo 4","Sony Computer Entertainment","Polyphony Digital","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"32","Super Mario Galaxy","Nintendo","Nintendo","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios muy alto","n? cr?ticas usuarios bajo"
"33","Grand Theft Auto IV","Take-Two Interactive","Rockstar North","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios alto","n? cr?ticas usuarios bajo"
"34","Gran Turismo","Sony Computer Entertainment","Polyphony Digital","Puntajes Cr?ticos muy alto","n? criticas criticos muy bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"35","Super Mario 3D Land","Nintendo","Nintendo","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"36","Gran Turismo 5","Sony Computer Entertainment","Polyphony Digital","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"37","Call of Duty: Modern Warfare 2","Activision","Infinity Ward","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"38","Grand Theft Auto IV","Take-Two Interactive","Rockstar North","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios alto","n? cr?ticas usuarios bajo"
"39","Call of Duty: Ghosts","Activision","Infinity Ward","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios bajo","n? cr?ticas usuarios muy bajo"
"40","Just Dance 3","Ubisoft","Ubisoft","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"41","New Super Mario Bros. 2","Nintendo","Nintendo","Puntajes Cr?ticos alto","n? criticas criticos alto","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"42","Halo: Reach","Microsoft Game Studios","Bungie","Puntajes Cr?ticos muy alto","n? criticas criticos muy alto","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"43","Final Fantasy VII","Sony Computer Entertainment","SquareSoft","Puntajes Cr?ticos muy alto","n? criticas criticos muy bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"44","Halo 4","Microsoft Game Studios","343 Industries","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios alto","n? cr?ticas usuarios bajo"
"45","Gran Turismo 2","Sony Computer Entertainment","Polyphony Digital","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"46","Just Dance 2","Ubisoft","Ubisoft","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"47","Call of Duty: Ghosts","Activision","Infinity Ward","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios bajo","n? cr?ticas usuarios muy bajo"
"48","Call of Duty 4: Modern Warfare","Activision","Infinity Ward","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"49","Animal Crossing: New Leaf","Nintendo","Nintendo","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"50","Mario Party DS","Nintendo","Hudson Soft","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"51","The Elder Scrolls V: Skyrim","Bethesda Softworks","Bethesda Game Studios","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios muy alto","n? cr?ticas usuarios bajo"
"52","FIFA 16","Electronic Arts","EA Sports","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios intermedio","n? cr?ticas usuarios muy bajo"
"53","Halo 2","Microsoft Game Studios","Bungie Software","Puntajes Cr?ticos muy alto","n? criticas criticos muy alto","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
