"","Name","Publisher","Developer","Puntajes Cr?ticos","Puntajes usuarios"
"1","Wii Sports","Nintendo","Nintendo","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2","Mario Kart Wii","Nintendo","Nintendo","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"3","Wii Sports Resort","Nintendo","Nintendo","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"4","New Super Mario Bros.","Nintendo","Nintendo","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"5","Wii Play","Nintendo","Nintendo","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"6","New Super Mario Bros. Wii","Nintendo","Nintendo","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"7","Mario Kart DS","Nintendo","Nintendo","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"8","Wii Fit","Nintendo","Nintendo","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"9","Kinect Adventures!","Microsoft Game Studios","Good Science Studio","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"10","Wii Fit Plus","Nintendo","Nintendo","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"11","Grand Theft Auto V","Take-Two Interactive","Rockstar North","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"12","Grand Theft Auto: San Andreas","Take-Two Interactive","Rockstar North","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"13","Brain Age: Train Your Brain in Minutes a Day","Nintendo","Nintendo","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"14","Grand Theft Auto V","Take-Two Interactive","Rockstar North","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"15","Grand Theft Auto: Vice City","Take-Two Interactive","Rockstar North","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"16","Brain Age 2: More Training in Minutes a Day","Nintendo","Nintendo","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"17","Gran Turismo 3: A-Spec","Sony Computer Entertainment","Polyphony Digital","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"18","Call of Duty: Modern Warfare 3","Activision","Infinity Ward, Sledgehammer Games","Puntajes Cr?ticos muy alto","Puntajes usuarios bajo"
"19","Call of Duty: Black Ops","Activision","Treyarch","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"20","Call of Duty: Black Ops II","Activision","Treyarch","Puntajes Cr?ticos muy alto","Puntajes usuarios intermedio"
"21","Call of Duty: Black Ops II","Activision","Treyarch","Puntajes Cr?ticos muy alto","Puntajes usuarios intermedio"
"22","Call of Duty: Modern Warfare 2","Activision","Infinity Ward","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"23","Call of Duty: Modern Warfare 3","Activision","Infinity Ward, Sledgehammer Games","Puntajes Cr?ticos muy alto","Puntajes usuarios bajo"
"24","Grand Theft Auto III","Take-Two Interactive","DMA Design","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"25","Super Smash Bros. Brawl","Nintendo","Game Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"26","Mario Kart 7","Nintendo","Retro Studios, Entertainment Analysis & Development Division","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"27","Call of Duty: Black Ops","Activision","Treyarch","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"28","Grand Theft Auto V","Take-Two Interactive","Rockstar North","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"29","Animal Crossing: Wild World","Nintendo","Nintendo","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"30","Halo 3","Microsoft Game Studios","Bungie Software, Bungie","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"31","Gran Turismo 4","Sony Computer Entertainment","Polyphony Digital","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"32","Super Mario Galaxy","Nintendo","Nintendo","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
