"","Name","Publisher","Puntajes Cr?ticos","Puntajes usuarios"
"1","Wii Sports","Nintendo","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"2","Mario Kart Wii","Nintendo","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"3","Wii Sports Resort","Nintendo","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"4","New Super Mario Bros.","Nintendo","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"5","Wii Play","Nintendo","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"6","New Super Mario Bros. Wii","Nintendo","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"7","Mario Kart DS","Nintendo","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"8","Wii Fit","Nintendo","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"9","Kinect Adventures!","Microsoft Game Studios","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"10","Wii Fit Plus","Nintendo","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"11","Grand Theft Auto V","Take-Two Interactive","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"12","Grand Theft Auto: San Andreas","Take-Two Interactive","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"13","Brain Age: Train Your Brain in Minutes a Day","Nintendo","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"14","Grand Theft Auto V","Take-Two Interactive","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"15","Grand Theft Auto: Vice City","Take-Two Interactive","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"16","Brain Age 2: More Training in Minutes a Day","Nintendo","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"17","Gran Turismo 3: A-Spec","Sony Computer Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"18","Call of Duty: Modern Warfare 3","Activision","Puntajes Cr?ticos muy alto","Puntajes usuarios bajo"
"19","Call of Duty: Black Ops","Activision","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"20","Call of Duty: Black Ops II","Activision","Puntajes Cr?ticos muy alto","Puntajes usuarios intermedio"
"21","Call of Duty: Black Ops II","Activision","Puntajes Cr?ticos muy alto","Puntajes usuarios intermedio"
"22","Call of Duty: Modern Warfare 2","Activision","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"23","Call of Duty: Modern Warfare 3","Activision","Puntajes Cr?ticos muy alto","Puntajes usuarios bajo"
"24","Grand Theft Auto III","Take-Two Interactive","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"25","Super Smash Bros. Brawl","Nintendo","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"26","Mario Kart 7","Nintendo","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"27","Call of Duty: Black Ops","Activision","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"28","Grand Theft Auto V","Take-Two Interactive","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"29","Animal Crossing: Wild World","Nintendo","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"30","Halo 3","Microsoft Game Studios","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"31","Gran Turismo 4","Sony Computer Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"32","Super Mario Galaxy","Nintendo","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"33","Grand Theft Auto IV","Take-Two Interactive","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"34","Gran Turismo","Sony Computer Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"35","Super Mario 3D Land","Nintendo","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"36","Gran Turismo 5","Sony Computer Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"37","Call of Duty: Modern Warfare 2","Activision","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"38","Grand Theft Auto IV","Take-Two Interactive","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"39","Call of Duty: Ghosts","Activision","Puntajes Cr?ticos alto","Puntajes usuarios bajo"
"40","Just Dance 3","Ubisoft","Puntajes Cr?ticos alto","Puntajes usuarios alto"
